Position,Genre,Age,Nationality,Needs to be relocated,Years of experience,Number of previous companies,Desired salary,Interested in freelance positions,Interested in permanent positions,Human resource score,Tech score,Exam score,Average score,Offer,Hired
Software developer,Male,37,Italian,False,9,4,29000,True,True,2,2,4,2.67,28910,True
Software engineer,Female,27,Indian,False,3,1,38000,True,False,3,0,4,2.33,31209,False
Software engineer,Male,27,Italian,False,3,1,38000,False,False,2,4,1,2.33,30699,True
Scrum master,Female,43,Irish,False,19,9,47000,False,True,4,1,0,1.67,38233,True
Software architect,Male,38,Spanish,True,10,5,55000,False,False,3,3,2,2.67,49415,False
Sysops,Male,36,British,False,7,5,273000,True,True,0,4,2,2.0,221303,False
Product owner,Male,35,Spanish,False,12,6,40000,False,True,3,1,4,2.67,33950,True
CTO,Female,47,Portuguese,False,20,11,70000,False,False,3,3,4,3.33,60102,True
Devops,Female,38,Italian,True,12,6,48000,False,False,3,4,4,3.67,45811,False
Product owner,Male,40,Spanish,False,12,5,40000,True,False,4,2,4,3.33,34776,False
Software architect,Female,33,British,False,10,2,55000,False,True,0,0,0,0.0,,
CTO,Female,47,Indian,True,20,5,70000,False,False,2,0,1,1.0,68553,True
CTO,Male,47,French,False,20,15,70000,False,False,0,2,0,0.67,,
Software developer,Male,33,French,True,9,6,29000,False,True,1,0,2,1.0,27674,True
Product owner,Male,34,Italian,True,12,3,40000,True,True,1,0,2,1.0,38285,True
Software engineer,Female,32,Spanish,False,3,1,38000,False,True,0,1,1,0.67,,
CTO,Female,47,Portuguese,False,20,19,70000,False,False,4,4,1,3.0,69303,False
Software architect,Female,32,Indian,False,10,5,55000,False,True,1,4,3,2.67,45663,False
Software architect,Male,32,British,False,10,9,55000,False,False,3,1,2,2.0,48795,True
Sysops,Female,34,Spanish,False,7,1,273000,True,False,2,2,0,1.33,244563,True
Software engineer,Female,32,British,True,3,2,38000,False,False,1,2,3,2.0,36819,True
Sysops,Male,36,Turkish,True,7,3,273000,True,True,4,1,2,2.33,270988,False
Software architect,Female,33,Italian,False,10,8,55000,False,True,4,1,2,2.33,51499,True
Software engineer,Female,32,Spanish,True,3,2,38000,False,False,3,4,1,2.67,33428,False
Sysops,Male,33,Portuguese,False,7,1,273000,True,True,2,1,1,1.33,226996,False
Devops,Male,37,Indian,False,12,5,48000,False,False,2,4,3,3.0,41858,False
Product owner,Male,34,Portuguese,False,12,6,40000,False,True,1,2,1,1.33,39620,True
Sysops,Male,30,French,False,7,2,273000,False,False,4,3,2,3.0,260326,False
Software developer,Male,36,French,False,9,4,29000,False,True,2,4,4,3.33,26169,True
Software developer,Male,34,Spanish,True,9,1,29000,False,False,2,3,4,3.0,24996,True
Software architect,Female,37,French,False,10,7,55000,False,True,2,3,4,3.0,51497,False
Sysops,Male,30,Brazilian,True,7,4,273000,False,True,0,4,1,1.67,232366,False
Software developer,Female,34,Indian,True,9,7,29000,True,False,0,4,1,1.67,26831,True
CTO,Female,42,Spanish,False,20,7,70000,False,True,3,3,0,2.0,56373,True
Scrum master,Female,45,Spanish,False,19,12,47000,False,False,0,0,1,0.33,,
Software developer,Male,38,Indian,False,9,2,29000,False,False,1,2,2,1.67,23727,False
Sysops,Male,31,French,True,7,6,273000,False,False,3,3,0,2.0,259448,False
Software architect,Male,37,Brazilian,False,10,3,55000,False,False,4,1,1,2.0,52329,False
Software engineer,Female,29,Irish,False,3,2,38000,False,True,3,0,3,2.0,33865,True
Software developer,Female,31,Italian,True,9,2,29000,False,False,4,4,0,2.67,24658,True
CTO,Male,49,Italian,False,20,7,70000,False,True,0,0,2,0.67,,
Product owner,Female,36,Portuguese,False,12,5,40000,True,False,0,2,4,2.0,35287,True
Devops,Male,41,Brazilian,False,12,4,48000,True,True,1,2,0,1.0,44763,True
Devops,Male,40,Spanish,False,12,4,48000,True,False,3,0,4,2.33,47605,False
Devops,Female,40,French,False,12,10,48000,True,False,3,1,0,1.33,38408,True
Devops,Male,37,Indian,False,12,2,48000,False,True,1,3,2,2.0,40006,False
Software developer,Male,34,British,True,9,5,29000,False,True,2,1,3,2.0,25105,False
Software architect,Male,38,British,False,10,8,55000,False,False,0,3,1,1.33,51012,True
Scrum master,Male,43,French,False,19,12,47000,False,True,4,3,4,3.67,44756,False
Sysops,Female,29,Irish,False,7,2,273000,False,False,3,2,4,3.0,255388,False
Sysops,Female,29,Indian,False,7,5,273000,False,False,2,2,1,1.67,261181,True
Software architect,Male,37,Turkish,False,10,9,55000,False,False,2,2,1,1.67,47080,True
Sysops,Male,35,Indian,True,7,3,273000,False,False,1,3,0,1.33,265014,False
Software architect,Male,36,French,False,10,7,55000,False,True,1,1,2,1.33,48743,False
Devops,Male,34,Spanish,False,12,4,48000,True,True,3,2,0,1.67,42361,True
Scrum master,Male,46,British,False,19,1,47000,False,True,4,0,2,2.0,45723,False
Software engineer,Male,31,French,False,3,2,38000,True,False,3,1,2,2.0,34560,False
Scrum master,Female,43,Italian,True,19,15,47000,False,False,2,3,1,2.0,42863,False
Sysops,Male,35,Italian,False,7,4,273000,False,True,4,4,2,3.33,251983,True
CTO,Female,45,Turkish,False,20,10,70000,False,True,2,0,4,2.0,62447,False
Sysops,Female,32,Turkish,False,7,3,273000,True,False,0,0,2,0.67,,
Software engineer,Male,27,Brazilian,False,3,2,38000,True,True,2,1,1,1.33,31262,True
Sysops,Female,35,French,False,7,5,273000,False,True,2,4,1,2.33,228736,True
Software architect,Female,36,British,True,10,5,55000,False,False,0,0,1,0.33,,
Software architect,Male,36,Brazilian,False,10,5,55000,True,False,3,0,4,2.33,48828,True
Software architect,Female,37,Italian,False,10,1,55000,False,False,0,1,1,0.67,,
Software developer,Male,37,French,False,9,1,29000,False,False,1,2,1,1.33,25204,True
Sysops,Male,36,Turkish,False,7,6,273000,False,True,0,2,4,2.0,241732,False
Software engineer,Male,32,Portuguese,False,3,2,38000,True,True,2,0,4,2.0,36505,False
Software engineer,Female,30,Portuguese,False,3,2,38000,True,False,2,1,3,2.0,31693,True
Scrum master,Female,44,Spanish,False,19,14,47000,False,False,4,4,1,3.0,43981,True
Software engineer,Male,31,Irish,False,3,1,38000,False,True,4,4,1,3.0,36736,True
Software engineer,Male,28,Spanish,False,3,1,38000,False,False,1,3,1,1.67,37453,True
Sysops,Female,32,Portuguese,False,7,5,273000,False,False,1,0,4,1.67,248998,True
Software architect,Male,35,French,False,10,1,55000,False,True,0,4,2,2.0,48494,True
Software engineer,Male,29,Portuguese,False,3,1,38000,False,True,2,1,4,2.33,32913,False
Software architect,Female,35,Turkish,False,10,4,55000,False,True,2,2,0,1.33,50486,False
Product owner,Female,37,British,True,12,7,40000,False,True,3,1,0,1.33,38604,True
Sysops,Male,30,Indian,True,7,1,273000,False,True,2,4,1,2.33,238195,True
Software developer,Female,31,British,True,9,7,29000,False,False,2,2,0,1.33,24955,False
Sysops,Male,36,Spanish,False,7,6,273000,False,False,4,4,2,3.33,245017,False
Product owner,Male,34,Irish,False,12,3,40000,False,False,0,3,2,1.67,39106,False
Devops,Female,39,British,False,12,1,48000,False,False,1,2,3,2.0,42435,True
CTO,Female,42,Irish,True,20,16,70000,False,True,0,1,4,1.67,69356,True
Devops,Female,41,Italian,False,12,11,48000,False,True,4,0,0,1.33,42244,True
Software developer,Male,36,Brazilian,False,9,2,29000,False,True,4,2,0,2.0,24173,True
